req_per_minute,avg_req_interval_ms,distinct_endpoints_accessed,error_rate,user_agent_is_known,missing_standard_headers,is_post_request,is_datacenter_ip,window_total_req,unique_ips_in_window,is_attack,payload_size_bytes
37.621338738813684,632.4698916011607,1,0.0423283294293317,0,0,0,0,3875.6748372796,391,1,0.0
18.74968409921806,2744.7867626033485,10,0.014411133594741289,1,0,0,0,197.03341577275083,23,0,0.0
33.35349309905883,4970.785986090398,21,0.8002173323195871,0,0,0,0,204.15008388073682,5,1,0.0
35.990450555875555,2962.583678284224,10,0.004446648483108676,1,0,0,0,107.44554197982532,8,0,0.0
24.11898680061004,8351.285615474175,11,0.013077762191339755,1,0,0,0,94.21316597127947,23,0,0.0
9.121218116332296,5042.01394685247,8,0.0030749106673599253,1,0,1,0,220.11843893838153,13,0,619.8402232943774
1.677812868595062,5102.8359199620045,5,0.002173073781314165,1,0,1,0,149.51149087212562,26,0,311.7077524010984
9.692114829705798,2055.244384068216,2,0.007150454308887658,1,0,0,0,264.5885857880391,15,0,0.0
16.453505847967403,3010.9582721056136,7,0.020444172434902486,1,0,0,0,178.05050887907458,16,0,0.0
11.141931634425337,4736.165234166087,8,0.007830811971643634,1,0,1,0,173.79940489583655,17,0,471.14541906053694
17.652244184159642,3085.727096840329,14,0.009256061617776864,0,0,0,0,99.07600864154549,26,0,0.0
12.594313817544482,4632.598405631597,2,0.0018075578786658517,1,0,0,0,164.3938280387028,17,0,0.0
17.613184247635704,2796.3069312844314,30,0.8931475255049506,0,0,0,0,172.50724797609072,15,1,0.0
16.77767518375971,3425.6269936676813,9,0.009055609403611668,1,0,0,0,140.53237799842623,23,0,0.0
5.39714518753643,3380.5508852533776,13,0.00143701670144222,1,0,0,0,169.408798849613,21,0,0.0
36.313111364557855,2371.655578832653,10,0.0005033092841783398,1,0,0,0,102.19118175473335,5,0,0.0
31.685796602373852,3787.8716252849117,12,0.003810980886084225,1,0,0,0,163.94373841053425,20,0,0.0
46.53943087239105,621.8785624733874,2,0.055301466182882335,0,1,0,0,4702.866926587098,340,1,0.0
36.892749708405084,1429.706184014231,15,0.5332257441106302,0,0,0,0,96.73660659521803,19,1,0.0
10.174555039060225,3949.56185927765,4,0.01747561789563755,1,0,0,0,159.7903919462045,7,0,0.0
14.311301380028514,1960.0194394443845,1,0.012795357886917958,1,0,0,0,138.7180093423548,23,0,0.0
20.831618102412982,2599.818000450955,2,0.00411791999186832,1,0,0,0,131.07059432404515,6,0,0.0
12.059869982880008,2085.2998598781746,13,0.027210027708291586,1,0,1,0,125.49375614804711,24,0,988.6701180605816
22.74370504333889,6958.23929932358,11,0.03497799110642326,0,0,0,0,110.53593129953363,19,0,0.0
7.187796697687572,2306.3843868634385,1,0.00188269228878328,1,0,0,0,157.42203151915294,27,0,0.0
7.19669194085902,2262.3569136231054,1,0.012121570184954387,0,0,1,0,201.4984824888533,27,0,966.8653942444065
13.93082732091685,2526.5114084539423,12,0.001533359803808465,1,0,0,0,158.49679956857224,25,0,0.0
49.127828452418484,1562.1967964928165,7,0.0007082466146847198,1,0,0,0,228.83417972865334,6,0,0.0
11.690972959721577,2259.802407374657,9,0.009506605865774256,1,0,0,0,104.4284315722856,10,0,0.0
42.39525171841372,611.1041822790826,1,0.03452047363468014,0,1,0,0,4760.144642691954,289,1,0.0
25.354819031400407,2056.3141613475095,13,0.006652397039511225,1,0,1,0,204.20042980544275,28,0,465.68212566026904
7.960464222194307,1357.4911469718768,13,0.025663380384327143,1,0,0,0,177.00356614914284,6,0,0.0
5.276665507149464,2178.233305195231,1,0.009950192047178298,1,0,0,0,126.80755921457569,6,0,0.0
5.096041916185717,3441.1132551635046,1,0.007232238414886203,1,0,0,0,200.51482919646688,6,0,0.0
893.645647133485,21.129285523174044,2,0.04093070380477161,0,1,0,0,1572.703899097586,3,1,0.0
22.83647504061881,2499.6133541395357,11,0.035950098666607005,1,0,0,0,141.86174439427106,17,0,0.0
27.23468455419149,6491.234567898165,14,0.022485953162082233,1,0,0,0,135.24522054361915,14,0,0.0
22.93707022283989,5698.532307686537,9,0.007939286182142785,1,0,1,0,120.53865710772341,19,0,267.2001296763941
265.6231694241145,185.66094968507616,1,0.7843402344326456,1,1,0,0,551.4481403698965,22,1,0.0
15.677994440062811,2392.7339983356487,13,0.013904095915304882,1,0,0,0,157.0386786213616,5,0,0.0
8.188959979243663,2109.137931449219,10,0.007607696192733715,1,0,0,0,67.94056654627785,16,0,0.0
5.530931308847239,1157.430264169344,7,0.0037216304718670087,1,0,0,0,143.29204278236352,11,0,0.0
2613.926936604652,8.870537769474803,2,0.0,0,1,0,0,1835.417586879113,2,1,0.0
23.818298507749166,4677.672286643579,14,0.016862354503462674,1,0,0,0,148.39122283989968,28,0,0.0
22.722972821664335,1642.6092525027946,55,0.9681010330587976,0,0,0,0,175.9356706039444,16,1,0.0
250.174531430958,242.87160320050037,2,0.9622661833131231,0,0,0,0,559.8036624004986,24,1,0.0
14.997586246642983,2448.9129180635728,11,0.0038739159331466133,1,0,0,0,131.0015020392976,10,0,0.0
38.956938339793595,755.0066695070087,2,0.05512386053508554,1,1,0,0,3051.4876269637753,271,0,0.0
45.30056874335486,2426.0953274259996,3,0.008112227302732833,1,0,0,0,30.244871505496334,17,0,0.0
17.749208654187722,15411.385860910656,12,0.0044163955063696485,1,0,0,0,160.22321759482514,23,0,0.0
26.03995380482993,1230.833832263479,31,0.5515346501584529,0,0,0,0,158.56731716030862,26,1,0.0
3.93734650874648,2624.632084699836,6,0.015415032173156014,1,0,0,0,173.05790379178404,8,0,0.0
1.7802371933054026,3189.9451503898063,9,0.017073235774024437,1,0,1,0,211.53805466941742,11,0,444.003796767911
221.01820224971925,161.5373525716296,1,0.6711417346739238,1,1,0,0,551.8708071836976,12,1,0.0
20.058484234807494,873.1488404839338,1,0.09271087986583901,1,1,0,0,5749.842540607218,284,1,0.0
18.56880132494931,2219.684571067238,13,0.013022525694837446,1,0,0,0,227.5695102978513,11,0,0.0
28.153571748867787,686.4366586754247,1,0.04948451217890795,0,0,0,0,3494.372141365803,392,1,0.0
2998.995389727779,24.848541511041486,1,0.11038822513718914,0,1,0,0,2080.86465696797,1,1,0.0
386.85464739551344,108.57472883286923,2,0.7649535939862094,0,0,0,0,432.45162242199456,10,1,0.0
349.7670542610232,159.85976445555875,2,0.5812361951038296,1,1,0,0,351.6278054281187,5,1,0.0
3.2909649189563193,3187.143330930321,10,0.015595318768192526,1,0,1,0,17.239471750900236,19,0,553.8606574552298
23.161776677152773,4900.974615760056,10,0.0012390113629058893,1,0,0,0,87.47612840807692,10,0,0.0
16.034612206184953,2161.844005264174,28,1.0,1,1,0,0,129.2536981237909,23,1,0.0
31.68023342773951,1229.546417455234,1,0.059568390160059395,1,1,0,0,3316.9130869981345,311,1,0.0
4.382631619818787,3879.787252713214,12,0.0011102033063224714,1,0,1,0,148.26991293548105,14,0,931.0774721293427
4.421107674167247,1664.0553884574347,1,0.0005889294437836605,1,0,0,0,102.4877646622806,23,0,0.0
36.184793948181635,4182.125909695856,14,0.012539662042454438,1,0,1,0,103.01268834445615,27,0,648.4338433336408
18.581496606410447,4222.129319749998,5,0.0010837316098631596,1,0,1,0,68.70258583250617,12,0,766.050879596148
38.03479939545481,2293.264507398072,4,0.02004783329081882,1,0,0,0,50.71508609968005,16,0,0.0
13.255921160189775,2627.894989870927,13,0.0012208779709762547,1,0,0,0,233.73490883256562,12,0,0.0
52.564378007865834,457.5633308853823,2,0.014058149420285757,0,1,0,0,4493.17720842635,308,1,0.0
6.435746808635066,3331.5532213533456,5,0.0129842839463821,1,0,0,0,128.84489352669132,26,0,0.0
1668.5842574027233,19.511746754150188,1,0.04945737610685404,0,1,1,0,1975.1473033648142,4,1,53.469743817396306
1264.0958838702795,10.630198660093281,2,0.053251437110968664,0,0,0,0,1451.2493355225076,4,1,0.0
360.3364227833536,264.5124163715975,2,0.6936282800068532,1,1,0,0,691.5274032860734,19,1,0.0
10.827684149981367,1653.7933654779235,12,0.005360340717630628,1,0,0,0,164.4040256399444,26,0,0.0
5.671680493143858,3064.680053753234,7,0.005190780725220216,1,0,0,0,263.47964560229804,18,0,0.0
3.976586016796381,1684.6146190308689,14,0.007666922890890792,1,0,0,0,143.70273727204457,26,0,0.0
